Brand,Model,Rating (/10),Grade,Release Year,Operating System,OS Version,Processor Brand,Processor Model,Speed (GHz),RAM (GB),Storage (GB),Battery (mAh),Fast Charging,Charging Speed (w),Weight (g),Depth (mm),Display Size (inches),Display Type,Resolution (p),Refresh Rate (Hz),Main Camera (MP),Front Camera (MP),Number of Rear Cameras,Fingerprint Sensor,Face Unlock,Water Resistant,IR Blaster,NFC,Stylus,Foldable/Flippable,Connectivity (G),Ships with Charger,Price (INR),Category
Realme,Realme Narzo 60x,7.6,Average,2023,Android,13,MediaTek,MediaTek Dimensity 6100+,2.2,6,128,5000,Yes,33,190,7.9,6.72,IPS LCD,1080,120,64,8,2,Yes,Yes,No,No,No,No,No,5,Yes,12499,Budget
Asus,Asus ROG Phone 7 Ultimate,9.2,Excellent,2023,Android,13,Qualcomm Snapdragon,Qualcomm Snapdragon 8 Gen 2,3.2,16,512,6000,Yes,65,239,10.3,6.78,AMOLED,1080,165,50,32,3,Yes,Yes,Yes,No,Yes,No,No,5,Yes,99999,Luxury
iQOO,iQOO iQOO Z9,7.4,Average,2024,Android,14,MediaTek,MediaTek Dimensity 7200,2.8,8,128,5000,Yes,44,188,7.8,6.67,AMOLED,1080,120,50,16,2,Yes,Yes,Yes,No,Yes,No,No,5,Yes,16999,Midrange
Unihertz,Unihertz Tank 3,6.8,Subpar,2024,Android,13,MediaTek,MediaTek Dimensity 820,2.6,12,256,23800,Yes,120,577,27,6.79,IPS LCD,1080,60,200,32,3,Yes,Yes,Yes,No,Yes,No,No,4,Yes,39999,Midrange
Lava,Lava Blaze 5G,7.2,Average,2022,Android,12,MediaTek,MediaTek Dimensity 810,2.4,4,128,5000,Yes,18,207,8.9,6.5,IPS LCD,720,90,50,8,2,Yes,Yes,No,No,No,No,No,5,Yes,10499,Budget
Huawei,Huawei Mate X3,8.5,Good,2023,HarmonyOS,13,Qualcomm Snapdragon,Qualcomm Snapdragon 8+ Gen 1 4G,3.19,12,512,4800,Yes,66,239,5.3,7.85,Foldable OLED,2224,120,50,8,3,Yes,Yes,Yes,Yes,Yes,No,Yes,4,Yes,229999,Luxury
Nokia,Nokia C12,5.5,Poor,2023,Android,12,Unisoc,Unisoc SC9863A1,1.6,2,64,3000,No,5,177.4,8.8,6.3,IPS LCD,720,60,8,5,1,No,Yes,No,No,No,No,No,4,Yes,6299,Budget
Infinix,Infinix Smart 7 HD,5.1,Poor,2023,Android,12,Unisoc,Unisoc SC9863A,1.6,2,64,5000,No,10,196,9.5,6.6,IPS LCD,720,60,8,5,2,Yes,Yes,No,No,No,No,No,4,Yes,5999,Budget
Samsung,Samsung Galaxy A34 5G,7.9,Average,2023,Android,13,MediaTek,MediaTek Dimensity 1080,2.6,8,128,5000,Yes,25,199,8.2,6.6,Super AMOLED,1080,120,48,13,3,Yes,Yes,Yes,No,Yes,No,No,5,No,29999,Midrange
Motorola,Motorola Razr 40 Ultra,8.8,Good,2023,Android,13,Qualcomm Snapdragon,Qualcomm Snapdragon 8+ Gen 1,3.2,8,256,3800,Yes,30,184.5,7,6.9,Foldable LTPO AMOLED,1080,165,12,32,2,Yes,Yes,Yes,No,Yes,No,Yes,5,Yes,89999,Luxury
itel,itel P40,4.9,Poor,2023,Android,12,Unisoc,Unisoc SC9863A,1.6,3,64,6000,Yes,18,206,9.2,6.6,IPS LCD,720,60,13,5,2,Yes,Yes,No,No,No,No,No,4,Yes,6799,Budget
Sony,Sony Xperia Pro-I,8.6,Good,2022,Android,12,Qualcomm Snapdragon,Qualcomm Snapdragon 888,2.84,12,512,4500,Yes,30,211,8.9,6.5,OLED,1644,120,12,8,3,Yes,Yes,Yes,No,Yes,No,No,5,Yes,139999,Luxury
Samsung,Samsung Galaxy Note 20 Ultra,8.5,Good,2020,Android,10,Qualcomm Snapdragon,Qualcomm Snapdragon 865+,3.09,12,256,4500,Yes,25,208,8.1,6.9,Dynamic AMOLED 2X,1440,120,108,10,3,Yes,Yes,Yes,No,Yes,Yes,No,5,Yes,104999,Luxury
Poco,Poco X5 Pro 5G,7.8,Average,2023,Android,12,Qualcomm Snapdragon,Qualcomm Snapdragon 778G,2.4,6,128,5000,Yes,67,181,7.9,6.67,AMOLED,1080,120,108,16,3,Yes,Yes,Yes,Yes,Yes,No,No,5,Yes,22999,Midrange
vivo,vivo X90 Pro,8.4,Good,2023,Android,13,MediaTek,MediaTek Dimensity 9200,3.05,12,256,4870,Yes,120,214.9,9.3,6.78,AMOLED,1260,120,50,32,3,Yes,Yes,Yes,No,Yes,No,No,5,Yes,84999,Luxury
Micromax,Micromax In 2c,5.2,Poor,2022,Android,11,Unisoc,Unisoc T610,1.8,3,32,5000,No,10,198,8.6,6.52,IPS LCD,720,60,8,5,1,No,Yes,No,No,No,No,No,4,Yes,5999,Budget
Infinix,Infinix Zero Ultra,8.1,Good,2022,Android,12,MediaTek,MediaTek Dimensity 920,2.5,8,256,4500,Yes,180,213,8.8,6.8,AMOLED,1080,120,200,32,3,Yes,Yes,No,No,Yes,No,No,5,Yes,29999,Midrange
Apple,Apple iPhone SE (2022),7.4,Average,2022,iOS,15,Apple Silicon,Apple A15 Bionic,3.23,4,64,2018,Yes,20,144,7.3,4.7,Retina IPS LCD,750,60,12,7,1,Yes,No,Yes,No,Yes,No,No,5,No,49900,Luxury
Realme,Realme C55,6.7,Subpar,2023,Android,13,MediaTek,MediaTek Helio G88,2,6,128,5000,Yes,33,189.5,7.9,6.72,IPS LCD,1080,90,64,8,2,Yes,Yes,No,No,Yes,No,No,4,Yes,10999,Budget
OnePlus,OnePlus Nord CE 3 Lite,7.5,Average,2023,Android,13,Qualcomm Snapdragon,Qualcomm Snapdragon 695,2.2,8,128,5000,Yes,67,195,8.3,6.72,IPS LCD,1080,120,108,16,3,Yes,Yes,No,No,Yes,No,No,5,Yes,19999,Midrange
Huawei,Huawei Mate Xs 2,8.3,Good,2022,HarmonyOS,2,Qualcomm Snapdragon,Qualcomm Snapdragon 888 4G,2.84,8,512,4600,Yes,66,255,11.1,7.8,Foldable OLED,2200,120,50,10.7,3,Yes,Yes,No,No,Yes,No,Yes,4,Yes,229999,Luxury
Samsung,Samsung Galaxy Z Flip 5,8.2,Good,2023,Android,13,Qualcomm Snapdragon,Qualcomm Snapdragon 8 Gen 2,3.36,8,256,3700,Yes,25,187,6.9,6.7,Foldable Dynamic AMOLED 2X,1080,120,12,10,2,Yes,Yes,Yes,No,Yes,No,Yes,5,No,99999,Luxury
Tecno,Tecno Spark Go 2023,5.5,Poor,2023,Android,12,MediaTek,MediaTek Helio A22,2,3,32,5000,No,10,195,8.9,6.6,IPS LCD,720,60,13,5,2,Yes,Yes,No,No,No,No,No,4,Yes,6799,Budget
Sony,Sony Xperia 1 V,8.6,Good,2023,Android,13,Qualcomm Snapdragon,Qualcomm Snapdragon 8 Gen 2,3.2,12,256,5000,Yes,30,187,8.3,6.5,OLED,1644,120,48,12,3,Yes,No,Yes,No,Yes,No,No,5,No,139999,Luxury
Infinix,Infinix Smart 7,5.3,Poor,2023,Android,12,Unisoc,Unisoc SC9863A,1.6,4,64,6000,No,10,207,9.4,6.6,IPS LCD,720,60,13,5,2,Yes,Yes,No,No,No,No,No,4,Yes,7499,Budget
iQOO,iQOO Z7 5G,7.4,Average,2023,Android,13,MediaTek,MediaTek Dimensity 920,2.5,6,128,4500,Yes,44,173,7.8,6.38,AMOLED,1080,90,64,16,2,Yes,Yes,Yes,No,Yes,No,No,5,Yes,18999,Midrange
Nokia,Nokia C32,6.1,Subpar,2023,Android,13,Unisoc,Unisoc SC9863A1,1.6,4,64,5000,No,10,199.4,8.6,6.5,IPS LCD,720,60,50,8,2,Yes,Yes,Yes,No,No,No,No,4,Yes,8999,Budget
Honor,Honor Magic V2,8.9,Good,2023,Android,13,Qualcomm Snapdragon,Qualcomm Snapdragon 8 Gen 2,3.36,16,512,5000,Yes,66,231,10.1,7.92,Foldable OLED,2156,120,50,16,3,Yes,Yes,Yes,No,Yes,No,Yes,5,Yes,149999,Luxury
Micromax,Micromax IN 2b,5.7,Poor,2021,Android,11,Unisoc,Unisoc T610,1.8,4,64,5000,No,10,190,9,6.52,IPS LCD,720,60,13,5,2,Yes,Yes,No,No,No,No,No,4,Yes,8499,Budget
Realme,Realme Narzo N53,6.5,Subpar,2023,Android,13,Unisoc,Unisoc Unisoc Tiger T612,1.8,6,128,5000,Yes,33,182,7.5,6.74,IPS LCD,720,90,50,8,2,Yes,Yes,No,No,No,No,No,4,Yes,8999,Budget
Samsung,Samsung Galaxy A24,7,Average,2023,Android,13,MediaTek,MediaTek Helio G99,2.2,8,128,5000,Yes,25,195,8.3,6.5,Super AMOLED,1080,90,50,13,3,Yes,Yes,No,No,Yes,No,No,4,No,18999,Midrange
Nokia,Nokia G42 5G,7.2,Average,2023,Android,13,Qualcomm Snapdragon,Qualcomm Snapdragon 480+ 5G,2.22,6,128,5000,Yes,20,193.8,8.6,6.56,IPS LCD,720,90,50,8,3,Yes,Yes,No,No,No,No,No,5,Yes,12999,Budget
Asus,Asus Zenfone 10,8.5,Good,2023,Android,13,Qualcomm Snapdragon,Qualcomm Snapdragon 8 Gen 2,3.2,16,512,4300,Yes,30,172,9.4,5.92,AMOLED,1080,144,50,32,2,Yes,Yes,Yes,No,Yes,No,No,5,Yes,69999,Luxury
Motorola,Motorola Moto G73 5G,7.4,Average,2023,Android,13,MediaTek,MediaTek Dimensity 930,2.2,8,128,5000,Yes,30,181,8.3,6.5,IPS LCD,1080,120,50,16,2,Yes,Yes,Yes,No,Yes,No,No,5,Yes,18999,Midrange
Lava,Lava Yuva 2 Pro,5.8,Poor,2023,Android,12,MediaTek,MediaTek Helio G37,2,4,64,5000,No,18,204,9,6.5,IPS LCD,720,60,13,5,2,Yes,Yes,No,No,No,No,No,4,Yes,7999,Budget
Samsung,Samsung Galaxy A14 5G,7,Average,2023,Android,13,MediaTek,MediaTek Dimensity 700,2.2,4,64,5000,Yes,15,202,9.1,6.6,PLS LCD,1080,90,50,13,3,Yes,Yes,No,No,Yes,No,No,5,No,13999,Budget
iQOO,iQOO Neo 7,8,Good,2023,Android,13,MediaTek,MediaTek Dimensity 8200,3.1,8,128,5000,Yes,120,193,8.6,6.78,AMOLED,1080,120,64,16,2,Yes,Yes,No,No,Yes,No,No,4,Yes,29999,Midrange
Nothing,Nothing Phone (2),8.6,Good,2023,Android,13,Qualcomm Snapdragon,Qualcomm Snapdragon 8+ Gen 1,3.2,12,256,4700,Yes,45,201,8.6,6.7,OLED,1080,120,50,32,2,Yes,Yes,Yes,No,Yes,No,No,5,No,49999,Luxury
Samsung,Samsung Galaxy M13,6.8,Subpar,2022,Android,12,Samsung Exynos,Samsung Exynos 850,2,4,64,6000,Yes,15,207,9.3,6.6,PLS LCD,1080,60,50,8,3,Yes,Yes,No,No,Yes,No,No,4,Yes,10499,Budget
Samsung,Samsung Galaxy Z Fold2 5G,8.3,Good,2020,Android,10,Qualcomm Snapdragon,Qualcomm Snapdragon 865+,3.1,12,256,4500,Yes,25,282,16.8,7.6,Foldable Dynamic AMOLED 2X,1768,120,12,10,3,Yes,Yes,No,No,Yes,No,Yes,5,No,149999,Luxury
Infinix,Infinix Zero 5G 2023,7,Average,2023,Android,12,MediaTek,MediaTek Dimensity 920,2.5,8,128,5000,Yes,33,201,8.9,6.78,IPS LCD,1080,120,50,16,3,Yes,Yes,No,No,No,No,No,5,Yes,15999,Midrange
Sony,Sony Xperia 1 IV,8.7,Good,2022,Android,12,Qualcomm Snapdragon,Qualcomm Snapdragon 8 Gen 1,3,12,256,5000,Yes,30,185,8.2,6.5,OLED,1644,120,12,12,3,Yes,No,Yes,No,Yes,No,No,5,No,124999,Luxury
Tecno,Tecno Camon 20 Premier 5G,7.5,Average,2023,Android,13,MediaTek,MediaTek Dimensity 8050,3,8,512,5000,Yes,45,203,7.8,6.67,AMOLED,1080,120,50,32,3,Yes,Yes,No,No,Yes,No,No,5,Yes,25999,Midrange
Huawei,Huawei Mate 60 Pro,9.3,Excellent,2023,HarmonyOS,4,HiSilicon,HiSilicon Kirin 9000S,3.1,12,512,5000,Yes,88,225,8.1,6.82,LTPO OLED,1216,120,50,13,3,Yes,Yes,Yes,Yes,Yes,No,No,5,Yes,94999,Luxury
OnePlus,OnePlus 7 Pro,8.2,Good,2019,Android,9,Qualcomm Snapdragon,Qualcomm Snapdragon 855,2.96,8,256,4000,Yes,30,206,8.8,6.67,Fluid AMOLED,1440,90,48,16,3,Yes,Yes,No,No,Yes,No,No,4,Yes,48999,Luxury
Samsung,Samsung Galaxy S10,8.5,Good,2019,Android,9,Samsung Exynos,Samsung Exynos 9820,2.73,8,128,3400,Yes,15,157,7.8,6.1,Dynamic AMOLED,1440,60,12,10,3,Yes,Yes,Yes,No,Yes,No,No,4,Yes,61900,Luxury
Poco,Poco F1,8.6,Good,2018,Android,8,Qualcomm Snapdragon,Qualcomm Snapdragon 845,2.8,6,128,4000,Yes,18,182,8.8,6.18,IPS LCD,1080,60,12,20,2,Yes,Yes,No,No,No,No,No,4,Yes,20999,Midrange
Apple,Apple iPhone XR,8.7,Good,2018,iOS,12,Apple Silicon,Apple A12 Bionic,2.5,3,64,2942,Yes,18,194,8.3,6.1,Liquid Retina IPS LCD,828,60,12,7,1,No,Yes,Yes,No,Yes,No,No,4,Yes,76900,Luxury
Motorola,Motorola Moto G7 Plus,7.2,Average,2019,Android,9,Qualcomm Snapdragon,Qualcomm Snapdragon 636,1.8,4,64,3000,Yes,27,176,8.3,6.2,LTPS IPS LCD,1080,60,16,12,2,Yes,Yes,No,No,Yes,No,No,4,Yes,17999,Midrange
Samsung,Samsung Galaxy S6 Edge+,8,Good,2015,Android,5,Samsung Exynos,Samsung Exynos 7420,2.1,4,64,3000,Yes,15,153,6.9,5.7,Super AMOLED,1440,60,16,5,1,Yes,No,No,Yes,Yes,No,No,4,Yes,57900,Luxury
Motorola,Motorola Moto G5 Plus,7,Average,2017,Android,7,Qualcomm Snapdragon,Qualcomm Snapdragon 625,2,4,32,3000,Yes,15,155,7.7,5.2,IPS LCD,1080,60,12,5,1,Yes,No,No,No,No,No,No,4,Yes,16999,Midrange
Sony,Sony Xperia XZ1,7.5,Average,2017,Android,8,Qualcomm Snapdragon,Qualcomm Snapdragon 835,2.45,4,64,2700,Yes,18,155,7.4,5.2,IPS LCD HDR10,1080,60,19,13,1,Yes,No,Yes,No,Yes,No,No,4,Yes,44990,Luxury
LG,LG V30+,8,Good,2017,Android,7,Qualcomm Snapdragon,Qualcomm Snapdragon 835,2.45,4,128,3300,Yes,18,158,7.3,6,P-OLED,1440,60,16,5,2,Yes,Yes,Yes,No,Yes,No,No,4,Yes,44990,Luxury
Nokia,Nokia 6.1 Plus,6.9,Subpar,2018,Android,8,Qualcomm Snapdragon,Qualcomm Snapdragon 636,1.8,4,64,3060,Yes,18,151,8,5.8,IPS LCD,1080,60,16,16,2,Yes,Yes,No,No,No,No,No,4,Yes,15999,Midrange
Apple,Apple iPhone 5,7.5,Average,2012,iOS,6,Apple Silicon,Apple A6,1.3,1,32,1440,No,5,112,7.6,4,IPS LCD,640,60,8,1.2,1,No,No,No,No,No,No,No,3,Yes,45500,Luxury
HTC,HTC One M7,8,Good,2013,Android,4,Qualcomm Snapdragon,Qualcomm Snapdragon 600,1.7,2,32,2300,No,5,143,9.3,4.7,Super LCD3,1080,60,4,2.1,1,No,No,No,Yes,Yes,No,No,4,Yes,42900,Luxury
Asus,Asus ROG Phone 5 Ultimate,9.2,Excellent,2021,Android,11,Qualcomm Snapdragon,Qualcomm Snapdragon 888,2.84,18,512,6000,Yes,65,238,10.3,6.78,AMOLED,1080,144,64,24,3,Yes,Yes,No,No,Yes,No,No,5,Yes,79999,Luxury
Infinix,Infinix Hot 20 Play,6.2,Subpar,2022,Android,12,MediaTek,MediaTek Helio G37,2,4,64,6000,Yes,18,209.6,8.5,6.82,IPS LCD,720,90,13,8,2,Yes,Yes,No,No,No,No,No,4,Yes,8499,Budget
Honor,Honor Magic Vs,8.8,Good,2022,Android,12,Qualcomm Snapdragon,Qualcomm Snapdragon 8+ Gen 1,3.2,12,512,5000,Yes,66,261,6.1,7.9,Foldable OLED,1984,90,54,16,3,Yes,Yes,No,Yes,Yes,No,Yes,5,Yes,139999,Luxury
Realme,Realme C21Y,5.5,Poor,2021,Android,10,Unisoc,Unisoc T610,1.8,3,32,5000,No,10,200,9.1,6.5,IPS LCD,720,60,13,5,3,Yes,Yes,No,No,No,No,No,4,Yes,7499,Budget
Gionee,Gionee Elife S5.1,5.8,Poor,2014,Android,4,MediaTek,MediaTek MT6592,2,1,16,2050,No,5,97.7,5.1,4.8,AMOLED,720,60,8,5,1,No,No,No,No,No,No,No,4,Yes,18999,Midrange
HTC,HTC One M8,8.2,Good,2014,Android,4,Qualcomm Snapdragon,Qualcomm Snapdragon 801,2.5,2,32,2600,No,7.5,160,9.4,5,Super LCD3,1080,60,4,5,2,No,No,No,Yes,Yes,No,No,4,Yes,49000,Luxury
Micromax,Micromax Canvas Infinity,6,Subpar,2017,Android,7,Qualcomm Snapdragon,Qualcomm Snapdragon 425,1.4,3,32,2900,No,5,160,8.7,5.7,IPS LCD,720,60,13,16,1,Yes,No,No,No,No,No,No,4,Yes,6999,Budget
Nokia,Nokia 9 PureView,7,Average,2019,Android,9,Qualcomm Snapdragon,Qualcomm Snapdragon 845,2.8,6,128,3320,Yes,18,172,8,5.99,POLED,1440,60,12,20,5,Yes,No,Yes,No,Yes,No,No,4,Yes,49999,Luxury
Motorola,Motorola Moto G (1st Gen),7.5,Average,2013,Android,4,Qualcomm Snapdragon,Qualcomm Snapdragon 400,1.4,1,8,2070,No,5,143,11.6,4.5,IPS LCD,720,60,5,1.3,1,No,No,No,No,No,No,No,3,Yes,12999,Budget
Samsung,Samsung Galaxy S5,7.3,Average,2014,Android,4,Qualcomm Snapdragon,Qualcomm Snapdragon 801,2.5,2,16,2800,Yes,18,145,8.1,5.1,Super AMOLED,1080,60,16,2,1,Yes,No,Yes,Yes,Yes,No,No,4,Yes,51000,Luxury
Xiaomi,Xiaomi Mi 3,7.8,Average,2013,Android,4,Qualcomm Snapdragon,Qualcomm Snapdragon 800,2.3,2,16,3050,No,18,145,8.1,5,IPS LCD,1080,60,13,2,1,No,No,No,Yes,No,No,No,3,Yes,14999,Budget
Sony,Sony Xperia Z1,7.2,Average,2013,Android,4,Qualcomm Snapdragon,Qualcomm Snapdragon 800,2.2,2,16,3000,No,7.5,170,8.5,5,TFT,1080,60,20.7,2,1,No,No,Yes,No,Yes,No,No,4,Yes,42990,Luxury
HTC,HTC Desire 820,6.9,Subpar,2014,Android,4,Qualcomm Snapdragon,Qualcomm Snapdragon 615,1.7,2,16,2600,No,10,155,7.7,5.5,IPS LCD,720,60,13,8,1,No,No,No,No,No,No,No,4,Yes,24990,Midrange
Samsung,Samsung Galaxy S4,7.2,Average,2013,Android,4,Qualcomm Snapdragon,Qualcomm Snapdragon 600,1.9,2,16,2600,No,10,130,7.9,5,Super AMOLED,1080,60,13,2,1,No,No,No,Yes,Yes,No,No,3,Yes,17500,Midrange
OnePlus,OnePlus OnePlus Nord 3,8.4,Good,2023,Android,13,MediaTek,MediaTek Dimensity 9000,3.05,8,128,5000,Yes,80,193.5,8.1,6.74,Fluid AMOLED,1240,120,50,16,3,Yes,Yes,Yes,No,Yes,No,No,5,Yes,33999,Midrange
Motorola,Motorola Moto G200 5G,8,Good,2021,Android,11,Qualcomm Snapdragon,Qualcomm Snapdragon 888+,2.99,8,128,5000,Yes,33,202,8.9,6.8,LCD,1080,144,108,16,3,Yes,Yes,Yes,No,Yes,No,No,5,Yes,34999,Midrange
Apple,Apple iPhone 14 Pro Max,9.4,Excellent,2022,iOS,16,Apple Silicon,Apple A16 Bionic,3.46,6,256,4323,Yes,27,240,7.85,6.7,Super Retina XDR OLED,1290,120,48,12,3,No,Yes,Yes,No,Yes,No,No,5,No,139900,Luxury
Vertu,Vertu Signature Touch,6.5,Subpar,2015,Android,5,Qualcomm Snapdragon,Qualcomm Snapdragon 810,2,4,64,3160,Yes,15,226,10.8,5.2,IPS LCD,1080,60,21,2.1,1,No,No,No,No,Yes,No,No,4,Yes,660000,Luxury
HTC,HTC Windows Phone 8X,6.5,Subpar,2012,Windows Phone,8,Qualcomm Snapdragon,Qualcomm Snapdragon S4 Plus,1.5,1,16,1800,No,5,130,10.1,4.3,Super LCD2,720,60,8,2.1,1,No,No,No,No,Yes,No,No,3,Yes,28000,Midrange
Infinix,Infinix GT 20 Pro,8.3,Good,2024,Android,14,MediaTek,MediaTek Dimensity 8200 Ultimate,3.1,8,256,5000,Yes,45,190,8.2,6.78,AMOLED,1080,144,108,32,3,Yes,Yes,No,No,Yes,No,No,5,Yes,24999,Midrange
Honor,Honor Magic6 Pro,9.1,Excellent,2024,Android,14,Qualcomm Snapdragon,Qualcomm Snapdragon 8 Gen 3,3.3,12,512,5600,Yes,80,229,8.9,6.8,LTPO OLED,1280,120,180,50,3,Yes,Yes,Yes,Yes,Yes,No,No,5,Yes,94999,Luxury
Realme,Realme C63,7.5,Average,2024,Android,14,Unisoc,Unisoc Tiger T612,1.8,6,128,5000,Yes,45,189,7.7,6.74,IPS LCD,720,90,50,8,2,Yes,Yes,No,No,No,No,No,4,Yes,8999,Budget
vivo,vivo X Fold3 Pro,8.9,Good,2024,Android,14,Qualcomm Snapdragon,Qualcomm Snapdragon 8 Gen 3,3.3,16,512,5700,Yes,100,236,11.2,8.03,LTPO AMOLED,2200,120,50,32,3,Yes,Yes,Yes,Yes,Yes,No,Yes,5,Yes,159999,Luxury
Realme,Realme GT Neo 3,8.6,Good,2022,Android,12,MediaTek,MediaTek Dimensity 8100,2.85,8,128,4500,Yes,150,188,8.2,6.7,AMOLED,1080,120,50,16,3,Yes,Yes,No,No,Yes,No,No,5,Yes,36999,Midrange
Infinix,Infinix GT 10 Pro,8,Good,2023,Android,13,MediaTek,MediaTek Dimensity 8050,3,8,256,5000,Yes,45,187,8.1,6.67,AMOLED,1080,120,108,32,3,Yes,Yes,No,No,No,No,No,5,Yes,19999,Midrange
HTC,HTC One A9,6.8,Subpar,2015,Android,6,Qualcomm Snapdragon,Qualcomm Snapdragon 617,1.5,3,32,2150,Yes,15,143,7.3,5,AMOLED,1080,60,13,4,1,Yes,No,No,No,Yes,No,No,4,Yes,31999,Midrange
Motorola,Motorola G54 Power Edition,7.9,Average,2023,Android,13,MediaTek,MediaTek Dimensity 7020,2.2,12,256,6000,Yes,33,192,8.9,6.5,IPS LCD,1080,120,50,16,2,Yes,Yes,Yes,No,Yes,No,No,5,Yes,15999,Midrange
Samsung,Samsung Galaxy Note Edge,6.7,Subpar,2014,Android,4,Qualcomm Snapdragon,Qualcomm Snapdragon 805,2.7,3,32,3000,Yes,15,174,8.3,5.6,Super AMOLED,1600,60,16,3.7,1,Yes,No,No,Yes,Yes,Yes,No,4,Yes,64900,Luxury
Xiaomi,Xiaomi Redmi Note 12 Explorer,8.3,Good,2022,Android,12,MediaTek,MediaTek Dimensity 1080,2.6,8,256,4300,Yes,210,207,9,6.67,AMOLED,1080,120,200,16,3,Yes,Yes,No,Yes,Yes,No,No,5,Yes,28999,Midrange
Nokia,Nokia Lumia 1020,7.5,Average,2013,Windows Phone,8,Qualcomm Snapdragon,Qualcomm Snapdragon S4 Plus,1.5,2,32,2000,No,5,158,10.4,4.5,AMOLED,768,60,41,1.2,1,No,No,No,No,Yes,No,No,3,Yes,34999,Midrange
Sony,Sony Xperia Z3,7.6,Average,2014,Android,4,Qualcomm Snapdragon,Qualcomm Snapdragon 801,2.5,3,16,3100,No,10,152,7.3,5.2,IPS LCD,1080,60,20.7,2.2,1,No,No,Yes,No,Yes,No,No,4,Yes,38990,Midrange
LG,LG G4,7.7,Average,2015,Android,5,Qualcomm Snapdragon,Qualcomm Snapdragon 808,1.8,3,32,3000,Yes,15,155,9.8,5.5,IPS LCD,1440,60,16,8,1,No,No,No,Yes,Yes,No,No,4,Yes,41990,Luxury
Microsoft,Microsoft Lumia 950 XL,7.9,Average,2015,Windows Phone,10,Qualcomm Snapdragon,Qualcomm Snapdragon 810,2,3,32,3340,Yes,18,165,8.1,5.7,AMOLED,1440,60,20,5,1,No,No,No,No,Yes,No,No,4,Yes,39999,Midrange
